Experiment: BatchEcoli_O2_expt_2025_01_29 vial 3, Wed Jan 29 18:19:34 2025
0.0015,0.0
0.0091,-0.00482182203891135
0.0173,-0.026772496017062775
0.0258,-0.011478096537880678
0.034,-0.0264273525884553
0.0425,-0.02516290849384184
0.0507,-0.020464884023359664
0.0592,-0.02988449782614122
0.0674,-0.028269582218519496
0.0759,-0.020350590274715863
0.0841,-0.003810567164258316
0.0925,-0.030346412066875494
0.1008,-0.01431276680263216
0.109,-0.016814341283278855
0.1175,-0.022753675676455254
0.1256,-0.007636553375498734
0.1341,-0.023441399114430883
0.1424,-0.031964901275960855
0.1509,-0.02550758845506884
0.1591,-0.019665118752174804
0.1673,-0.028269582218519496
0.1758,-0.030577454303353235
0.1841,-0.015108002897738615
0.1923,-0.03184920245422296
0.2008,-0.03312267344967701
0.2091,-0.00011185670356428368
0.2176,-0.004484616880367831
0.2258,-0.01488072417127606
0.234,0.0029036439613372433
0.2425,-0.007636553375498734
0.2508,-0.013064462761879225
0.259,0.003238107447058658
0.2675,-0.010912182653408431
0.2757,-0.008651912770998305
0.2842,-0.02103656082328942
0.2924,0.005353637638492392
0.3006,-0.015562724702641306
0.3091,0.004352133368563216
0.3173,-0.011704557114896375
0.3258,-0.0004475061711897155
0.334,-0.01340474557383664
0.3425,-0.00910353418132459
0.3507,-0.0029125810157968335
0.359,-0.0006713386481476125
0.3675,-0.005496593428885532
0.3757,-0.019094273109282023
0.3839,-0.005496593428885532
0.3924,0.00624297571452237
0.4007,-0.010459695655316903
0.4092,-0.0182956696018699
0.4174,-0.015221662799527191
0.4256,-0.006171846879867049
0.4342,-0.004259880242576397
0.4424,0.005019920515015208
0.4506,-0.002463907500211082
0.4591,-0.01079904057214387
0.4674,0.006131854094904909
0.4759,0.005131172618637603
0.4841,0.007797311783345862
0.4923,0.0025690622927034834
0.5008,-0.010459695655316903
0.5091,-0.014426330925407127
0.5173,-0.015108002897738615
0.5258,-0.003361467496296733
0.534,-0.0029125810157968335
0.5425,-0.016017665837015915
0.5508,-0.009216473283706117
0.559,0.0031266327442458497
0.5675,0.0008943779821144471
0.5757,-0.012497597265413107
0.5839,0.0018995440385851659
0.5925,-0.00797488526312673
0.6007,-0.01647282653337445
0.6089,-0.004484616880367831
0.6174,-0.010572797076669138
0.6257,-0.017725652467446285
0.6342,0.007020462404114802
0.6424,-0.0013431539753985255
0.6507,-0.01204434988051406
0.6591,0.00524241165867001
0.6673,-0.0065096546150889
0.6758,0.013658609831097568
0.684,0.007020462404114802
0.6925,-0.0034737224182619375
0.7007,-0.01476710533935699
0.7089,-0.01488072417127606
0.7174,-0.013858646957840337
0.7256,0.0022343623491543063
0.7341,-0.004934250492903081
0.7423,-0.006622284033181325
0.7508,-0.013631668972672983
0.7591,-0.009216473283706117
0.7673,-0.01488072417127606
0.7758,-0.0029125810157968335
0.784,-0.0016792406266177284
0.7922,0.0021227694020724552
0.8008,-0.01704208651768524
0.809,-0.015562724702641306
0.8172,-0.014426330925407127
0.8258,0.0006708627128892974
0.834,-0.0057216243128079824
0.8425,0.008462676304599182
0.8507,-0.007411066076825401
0.859,-0.0053840980745467615
0.8675,-0.019436739001648107
0.8757,-0.010459695655316903
0.8839,-0.006960252855775062
0.8924,0.004240789725112437
0.9007,-0.007749317209226447
0.9089,0.0007826269456889801
0.9174,-0.006622284033181325
0.9256,0.010787781901693938
0.9341,-0.019550921958896517
0.9424,0.006687331928028728
0.9506,-0.015449023698352882
0.9591,-0.015335336398523136
0.9673,-0.007185632579658874
0.9756,0.008019151852842965
0.9841,-0.0182956696018699
0.9923,-0.014199216348100396
1.0006,0.0018995440385851659
1.0091,-0.01624521872539919
1.0173,-0.012724302607063587
1.0258,-0.01579016783912124
1.0341,0.010455972785427647
1.0423,0.008019151852842965
1.0506,0.0022343623491543063
1.0591,-0.00797488526312673
1.0673,-0.00482182203891135
1.0758,-0.016814341283278855
1.084,-0.0057216243128079824
1.0923,-0.0032492258985461486
1.1008,0.01100892350906224
1.109,0.00022367374930687411
1.1172,-0.004147531953573758
1.1257,-0.005159147523586816
1.134,0.00868436074034884
1.1422,-0.012157641323413682
1.1507,-0.0034737224182619375
1.159,-0.012837675702761953
1.1672,0.0015646072687847123
1.1757,-0.006284436041947616
1.184,0.0007826269456889801
1.1925,-0.017953617963630153
1.2007,-0.015449023698352882
1.209,-0.008087689490368088
1.2172,0.0034610174924116777
1.2257,-0.009894391669777347
1.234,-0.015335336398523136
1.2425,-0.018751931608784744
1.2507,-0.018181638598379513
1.259,0.008019151852842965
1.2672,0.004797377103487266
1.2757,-0.018751931608784744
1.2839,-0.0032492258985461486
1.2925,-0.010459695655316903
1.3007,-0.01023353344755118
1.3089,-0.018980145459363884
1.3174,-0.009781371471970557
1.3256,-0.0008952240894362085
1.3342,-0.011591320035436281
1.3424,-0.01079904057214387
1.3506,-0.02103656082328942
1.3589,-0.009216473283706117
1.3674,-0.01113850750084211
1.3756,0.006020719442060729
1.3841,-0.014085679558199393
1.3923,-0.009555371647180344
1.4006,-0.003361467496296733
1.4091,-0.006960252855775062
1.4173,-0.006960252855775062
1.4256,-0.01079904057214387
1.4341,-0.018751931608784744
1.4423,-0.014994356689527866
1.4506,-0.020350590274715863
1.4591,-0.021379733481698082
1.4673,0.0029036439613372433
1.4755,-0.02263910391400681
1.4841,0.0022343623491543063
1.4923,-0.0016792406266177284
1.5005,-0.019322569876746964
1.509,-0.00786209450392561
1.5173,0.0008943779821144471
1.5258,-0.016700489290061515
1.534,-0.013177876732495486
1.5423,0.0029036439613372433
1.5505,-0.020236310387901302
1.559,-0.008313338363116207
1.5673,-0.007523802999209961
1.5758,-0.014653500190151103
1.584,-0.014199216348100396
1.5922,-0.009555371647180344
1.6007,-0.02206645406653207
1.609,-0.009555371647180344
1.6172,-0.023212102160121484
1.6257,-0.021837491575064316
1.6339,-0.019436739001648107
1.6422,-0.002688217651286129
1.6507,-0.014653500190151103
1.6589,-0.02688757196324687
1.6674,-0.01579016783912124
1.6757,-0.02585239468104783
1.6839,-0.0022396505348099005
1.6924,-0.0006713386481476125
1.7006,-0.024014885900903504
1.7089,-0.02711776608323735
1.7174,-0.02688757196324687
1.7256,-0.00932942589310759
1.7338,-0.012270946366139457
1.7424,-0.027808686536253457
1.7506,-0.017269886773711107
1.7588,-0.012610943129144792
1.7674,-0.010572797076669138
