Experiment: BatchEcoli_O2_expt_2025_01_29 vial 13, Wed Jan 29 18:19:34 2025
0.0015,0.0
0.0091,0.00016386454538519502
0.0173,0.0009010658916324132
0.0258,0.0011467309372807932
0.034,-0.0030342546151587158
0.0425,-0.004430130851098113
0.0507,-0.0015574760576839708
0.0592,-0.0008195520990632588
0.0674,-0.0009015283432667331
0.0759,-0.004347989771069649
0.0841,-8.193800533007334e-05
0.0925,-0.0009015283432667331
0.1008,-0.0011474800324418055
0.109,-0.0009015283432667331
0.1175,-0.0009835084133236194
0.1256,-0.0030342546151587158
0.1341,-0.0021316313091581662
0.1424,-0.0025418571329360873
0.1509,-0.0037731097376809686
0.1591,-0.003362596302263654
0.1673,-0.00566270820833914
0.1758,-0.002705974291053792
0.1841,-0.0009835084133236194
0.1923,-0.00533393633564927
0.2008,-0.003690999375258741
0.2091,-0.0029521787822517354
0.2176,-0.0040194638571797725
0.2258,-0.0012294715820964086
0.234,-0.0031984177868960018
0.2425,-0.002377755306820717
0.2508,1.4803712088138443
0.259,-0.025419358942807335
0.2675,-0.021848381773848402
0.2757,-0.018284649914360074
0.2842,-0.020521497192321547
0.2924,-0.02251220014506039
0.3006,-0.02093604095737689
0.3091,-0.01952699114932166
0.3173,-0.024006709393317394
0.3258,-0.021350682582674807
0.334,-0.022844203433889376
0.3425,-0.019278452596147133
0.3507,-0.02077021171067983
0.359,-0.02118481418627205
0.3675,-0.023674486314888554
0.3757,-0.019444141057261888
0.3839,-0.019858430602207378
0.3924,-0.021101885861607883
0.4007,-0.017787959352430605
0.4092,-0.019692703058044714
0.4174,-0.01629872982626246
0.4256,-0.01861585500216023
0.4342,-0.018781480968973696
0.4424,-0.018284649914360074
0.4506,-0.016877724615174117
0.4591,-0.021682466373434295
0.4674,-0.0190299492060646
0.4759,-0.01629872982626246
0.4841,-0.02508686858421605
0.4923,-0.021101885861607883
0.5008,-0.023259295814249015
0.5091,-0.02151656664403312
0.5173,-0.024006709393317394
0.5258,-0.021931345351616116
0.534,-0.023757536193484086
0.5425,-0.020189932608683847
0.5508,-0.022263238855064316
0.559,-0.02508686858421605
0.5675,-0.023176269490008394
0.5757,-0.02392364773232636
0.5839,-0.024837542113235855
0.5925,-0.019858430602207378
0.6007,-0.022097284264120276
0.6089,-0.02467134412610683
0.6174,-0.023093247090212543
0.6257,-0.020107051241309293
0.6342,-0.019609845149377136
0.6424,-0.01861585500216023
0.6507,-0.020687302958089404
0.6591,-0.020355707076921803
0.6673,-0.020521497192321547
0.6758,-0.01952699114932166
0.684,-0.022429209127423633
0.6925,-0.019444141057261888
0.7007,-0.02060439811880066
0.7089,-0.023259295814249015
0.7174,-0.0190299492060646
0.7256,-0.021599514550041832
0.7341,-0.020521497192321547
0.7423,-0.018864299809385088
0.7508,-0.020189932608683847
0.7591,-0.017787959352430605
0.7673,-0.02392364773232636
0.7758,-0.01795350726768241
0.784,-0.02118481418627205
0.7922,-0.023010228614488426
0.8008,-0.018533047875145314
0.809,-0.02267819394499071
0.8172,-0.01845024465169054
0.8258,-0.019444141057261888
0.834,-0.016794999387840903
0.8425,-0.023176269490008394
0.8507,-0.02359144036284455
0.859,-0.01836744533155077
0.8675,-0.022595195084168296
0.8757,-0.023259295814249015
0.8839,-0.022595195084168296
0.8924,-0.022097284264120276
0.9007,-0.018201858399747195
0.9089,-0.022097284264120276
0.9174,-0.022180259599601015
0.9256,-0.021350682582674807
0.9341,-0.022595195084168296
0.9424,-0.021682466373434295
0.9506,-0.01845024465169054
0.9591,-0.017208664490931724
0.9673,-0.017787959352430605
0.9756,-0.022927214062587353
0.9841,-0.020355707076921803
0.9923,-0.02077021171067983
1.0006,-0.02043860017852772
1.0091,-0.01745691032322938
1.0173,-0.016381431683333503
1.0258,-0.021931345351616116
1.0341,-0.016877724615174117
1.0423,-0.022014312848247286
1.0506,-0.023176269490008394
1.0591,-0.01861585500216023
1.0673,-0.021599514550041832
1.0758,-0.021682466373434295
1.084,-0.02251220014506039
1.0923,-0.019941300238439652
1.1008,-0.02251220014506039
1.109,-0.020687302958089404
1.1172,-0.01745691032322938
1.1257,-0.02251220014506039
1.134,-0.022014312848247286
1.1422,-0.016794999387840903
1.1507,-0.019858430602207378
1.159,-0.019361294872950907
1.1672,-0.01729140920338068
1.1757,-0.016216031862805735
1.184,-0.015223959879222093
1.1925,-0.011838602101791551
1.2007,-0.01472813393067618
1.209,-0.01282876333404559
1.2172,-0.01861585500216023
1.2257,-0.01795350726768241
1.234,-0.019278452596147133
1.2425,-0.01514131250087658
1.2507,-0.01613333779271464
1.259,-0.016216031862805735
1.2672,-0.018864299809385088
1.2757,-0.01762242703851591
1.2839,-0.017787959352430605
1.2925,-0.01795350726768241
1.3007,-0.013324053340530995
1.3089,-0.014149847165780827
1.3174,-0.01811907078734265
1.3256,-0.01704318675901817
1.3342,-0.012746228576013152
1.3424,-0.014976029409591973
1.3506,-0.01894712255495712
1.3589,-0.01563725511255143
1.3674,-0.014315052529266126
1.3756,-0.014067250310382917
1.3841,-0.012746228576013152
1.3923,-0.01505866901112185
1.4006,-0.014893393695917467
1.4091,-0.011673629482066517
1.4173,-0.011838602101791551
1.4256,-0.01571992583015458
1.4341,-0.01448027343256797
1.4423,-0.018864299809385088
1.4506,-0.016381431683333503
1.4591,-0.020024173784767285
1.4673,-0.01836744533155077
1.4755,-0.019692703058044714
1.4841,-0.015306611146527871
1.4923,-0.020355707076921803
1.5005,-0.016546847080276095
1.509,-0.020687302958089404
1.5173,-0.02118481418627205
1.5258,-0.021433622655033346
1.534,-0.01845024465169054
1.5423,-0.01646413743463171
1.5505,-0.01762242703851591
1.559,-0.018284649914360074
1.5673,-0.016216031862805735
1.5758,-0.016216031862805735
1.584,-0.02027281788701707
1.5922,-0.02043860017852772
1.6007,-0.01538926630315629
1.609,-0.019361294872950907
1.6172,-0.015967961331288194
1.6257,-0.01505866901112185
1.6339,-0.019195614226227065
1.6422,-0.018533047875145314
1.6507,-0.01762242703851591
1.6589,-0.01671227805657516
1.6674,-0.013819483045912406
1.6757,-0.02043860017852772
1.6839,-0.01613333779271464
1.6924,-0.01646413743463171
1.7006,-0.014232447905245138
1.7089,-0.018698666033357014
1.7174,-0.019858430602207378
1.7256,-0.016216031862805735
1.7338,-0.021599514550041832
1.7424,-0.02027281788701707
1.7506,-0.019361294872950907
1.7588,-0.020355707076921803
1.7674,-0.019444141057261888
1.7756,-0.020521497192321547
1.7838,-0.020355707076921803
1.7923,-0.021765422114578215
1.8006,-0.02060439811880066
1.8091,-0.0190299492060646
1.8173,-0.021848381773848402
1.8255,-0.0190299492060646
1.834,-0.021350682582674807
1.8423,-0.02151656664403312
1.8505,-0.024837542113235855
1.859,-0.02118481418627205
1.8673,-0.023757536193484086
1.8755,-0.021848381773848402
1.884,-0.023010228614488426
1.8923,-0.023342326063183094
1.9005,-0.02118481418627205
1.909,-0.019444141057261888
1.9173,-0.018698666033357014
1.9255,-0.021765422114578215
1.934,-0.019609845149377136
1.9422,-0.02267819394499071
1.9507,-0.019941300238439652
1.959,-0.02342536023742703
1.9672,-0.01795350726768241
1.9757,-0.019444141057261888
1.984,-0.023757536193484086
1.9922,-0.02043860017852772
2.0007,-0.02267819394499071
2.009,-0.023674486314888554
2.0172,-0.01845024465169054
2.0257,-0.022595195084168296
2.0339,-0.023342326063183094
2.0422,-0.01745691032322938
2.0507,-0.022595195084168296
2.0589,-0.020189932608683847
2.0672,-0.01861585500216023
2.0757,-0.01729140920338068
2.0839,-0.017208664490931724
2.0922,-0.01952699114932166
2.1007,-0.022429209127423633
2.1089,-0.02267819394499071
2.1171,-0.023010228614488426
2.1257,-0.017374157814106894
2.1339,-0.019444141057261888
2.1424,-0.02027281788701707
2.1506,-0.019692703058044714
2.1588,-0.016050647615745817
2.1674,-0.02027281788701707
2.1756,-0.017705191245413587
2.1838,-0.021848381773848402
2.1923,-0.021931345351616116
2.2006,-0.01845024465169054
2.2088,-0.02151656664403312
2.2173,-0.021101885861607883
2.2255,-0.021848381773848402
2.2341,-0.02043860017852772
2.2423,-0.017374157814106894
2.2505,-0.02151656664403312
2.2588,-0.019361294872950907
2.2673,-0.020189932608683847
2.2755,-0.021931345351616116
2.284,-0.023757536193484086
2.2923,-0.019775564875448737
2.3005,-0.01836744533155077
2.309,-0.02151656664403312
2.3172,-0.01753966673124374
2.3255,-0.021018961452099916
2.334,-0.021350682582674807
2.3422,-0.02043860017852772
2.3504,-0.01911277976294734
2.359,-0.016877724615174117
2.3672,-0.02151656664403312
2.3757,-0.01787073135968953
2.3839,-0.018864299809385088
2.3922,-0.019278452596147133
2.4007,-0.02093604095737689
2.4089,-0.02276119672814758
2.4171,-0.017125923676267973
2.4256,-0.02251220014506039
2.4339,-0.017787959352430605
2.4421,-0.01861585500216023
2.4506,-0.02118481418627205
2.4589,-0.018698666033357014
2.4674,-0.02093604095737689
2.4756,-0.01729140920338068
2.4838,-0.02060439811880066
2.4924,-0.02027281788701707
2.5006,-0.016050647615745817
2.5088,-0.02126774642658802
2.5173,-0.01646413743463171
2.5255,-0.017374157814106894
2.5338,-0.017208664490931724
2.5423,-0.019858430602207378
2.5506,-0.018864299809385088
2.5588,-0.018284649914360074
2.5673,-0.02027281788701707
2.5755,-0.02126774642658802
2.5838,-0.020107051241309293
2.5923,-0.015802600438920678
2.6005,-0.020355707076921803
2.609,-0.019361294872950907
2.6173,-0.02151656664403312
2.6255,-0.019858430602207378
2.634,-0.016629560620883055
2.6422,-0.018201858399747195
2.6505,-0.019692703058044714
2.659,-0.01762242703851591
2.6672,-0.021765422114578215
2.6754,-0.022927214062587353
2.684,-0.018201858399747195
2.6922,-0.016629560620883055
2.7005,-0.02060439811880066
2.709,-0.01836744533155077
2.7172,-0.016381431683333503
2.7255,-0.017705191245413587
2.734,-0.016794999387840903
2.7422,-0.01762242703851591
2.7504,-0.016877724615174117
2.7589,-0.02077021171067983
2.7672,-0.018284649914360074
2.7754,-0.02043860017852772
2.7839,-0.016877724615174117
2.7922,-0.022429209127423633
2.8004,-0.022346222030881435
2.8089,-0.01836744533155077
2.8172,-0.020189932608683847
2.8257,-0.01646413743463171
2.8339,-0.01563725511255143
2.8421,-0.016216031862805735
2.8507,-0.01952699114932166
2.8589,-0.018864299809385088
2.8671,-0.017125923676267973
2.8756,-0.02251220014506039
2.8839,-0.02077021171067983
2.8921,-0.021931345351616116
2.9006,-0.01811907078734265
2.9089,-0.01952699114932166
2.9171,-0.02118481418627205
2.9256,-0.01671227805657516
2.9339,-0.016794999387840903
2.9421,-0.01753966673124374
2.9506,-0.01704318675901817
2.9588,-0.018864299809385088
2.9674,-0.014893393695917467
2.9756,-0.016877724615174117
2.9838,-0.019278452596147133
2.9921,-0.0190299492060646
3.0006,-0.01588527893909486
3.0088,-0.017787959352430605
3.0173,-0.018864299809385088
3.0255,-0.016216031862805735
3.0338,-0.014397661038211496
3.0423,-0.014067250310382917
3.0504,-0.014397661038211496
3.059,-0.01481076186973418
3.0672,-0.013654324283791652
3.0754,-0.016877724615174117
3.0839,-0.013819483045912406
3.0921,-0.013736901723735429
3.1004,-0.016381431683333503
3.1089,-0.013158941153532666
3.1171,-0.014067250310382917
3.1256,-0.013571750725965614
3.1338,-0.01836744533155077
3.1421,-0.01787073135968953
3.1506,-0.016216031862805735
3.1588,-0.01348918104964092
3.1673,-0.015554588285739968
3.1755,-0.01571992583015458
3.1838,-0.017705191245413587
3.1923,-0.01762242703851591
3.2005,-0.01448027343256797
3.2088,-0.014232447905245138
3.2172,-0.01448027343256797
3.2255,-0.01538926630315629
3.234,-0.01845024465169054
3.2422,-0.01753966673124374
3.2504,-0.017208664490931724
3.2589,-0.015802600438920678
3.2672,-0.02060439811880066
3.2754,-0.01571992583015458
3.2839,-0.02126774642658802
3.2921,-0.01952699114932166
3.3006,-0.018698666033357014
3.3089,-0.01696045373869559
3.3171,-0.01729140920338068
3.3256,-0.016546847080276095
3.3338,-0.020521497192321547
3.3421,-0.01787073135968953
3.3506,-0.01547192534947861
3.3588,-0.021931345351616116
3.3671,-0.020521497192321547
3.3756,-0.016546847080276095
3.3838,-0.017208664490931724
3.3921,-0.020189932608683847
3.4006,-0.019278452596147133
3.4088,-0.01671227805657516
3.417,-0.016546847080276095
3.4255,-0.020024173784767285
3.4338,-0.02093604095737689
3.4423,-0.01952699114932166
3.4505,-0.01464550987837221
3.4587,-0.018201858399747195
3.4672,-0.01464550987837221
3.4755,-0.01753966673124374
3.484,-0.018533047875145314
3.4922,-0.014315052529266126
3.5004,-0.019444141057261888
3.5089,-0.015802600438920678
3.5172,-0.01696045373869559
3.5254,-0.020024173784767285
3.5339,-0.014067250310382917
3.5422,-0.01571992583015458
3.5504,-0.019361294872950907
3.5589,-0.01629872982626246
3.5672,-0.01811907078734265
3.5754,-0.017208664490931724
3.5839,-0.02060439811880066
3.5922,-0.021350682582674807
3.6004,-0.018201858399747195
3.6089,-0.021599514550041832
3.6171,-0.020355707076921803
3.6254,-0.019775564875448737
3.6339,-0.022346222030881435
3.6421,-0.022927214062587353
3.6503,-0.021433622655033346
3.6588,-0.021018961452099916
3.6671,-0.02342536023742703
3.6756,-0.016381431683333503
3.6838,-0.02126774642658802
3.6921,-0.019858430602207378
3.7006,-0.02060439811880066
3.7088,-0.01514131250087658
3.717,-0.021101885861607883
3.7256,-0.024255917946536698
3.7338,-0.021101885861607883
3.742,-0.022595195084168296
3.7505,-0.02077021171067983
3.7588,-0.022346222030881435
3.7673,-0.019278452596147133
3.7755,-0.02027281788701707
3.7837,-0.018864299809385088
3.7923,-0.01745691032322938
3.8005,-0.023259295814249015
3.8087,-0.02043860017852772
3.8172,-0.019444141057261888
3.8255,-0.021931345351616116
3.8337,-0.016381431683333503
3.8422,-0.022595195084168296
3.8504,-0.020687302958089404
3.8589,-0.021018961452099916
3.8672,-0.019609845149377136
3.8754,-0.018864299809385088
3.8839,-0.01911277976294734
3.8921,-0.020189932608683847
3.9004,-0.02267819394499071
3.9089,-0.01629872982626246
3.9171,-0.020521497192321547
3.9253,-0.021848381773848402
3.9339,-0.01696045373869559
3.9421,-0.01547192534947861
3.9506,-0.019195614226227065
3.9588,-0.020687302958089404
3.9671,-0.021018961452099916
3.9753,-0.022346222030881435
3.9838,-0.020687302958089404
3.9921,-0.01563725511255143
4.0006,-0.02085312437706932
4.0088,-0.015967961331288194
4.0171,-0.022263238855064316
4.0253,-0.020521497192321547
4.0338,-0.019278452596147133
4.0421,-0.022097284264120276
4.0506,-0.013819483045912406
4.0588,-0.02093604095737689
4.067,-0.022097284264120276
4.0755,-0.02027281788701707
4.0838,-0.017125923676267973
4.092,-0.018036287076776958
4.1006,-0.01753966673124374
4.1088,-0.019941300238439652
4.117,-0.02118481418627205
4.1255,-0.02027281788701707
4.1337,-0.020521497192321547
4.1422,-0.021101885861607883
4.1504,-0.021018961452099916
4.1587,-0.021682466373434295
4.1672,-0.020024173784767285
4.1754,-0.01514131250087658
4.1837,-0.01472813393067618
4.1922,-0.015306611146527871
4.2004,-0.02060439811880066
4.2087,-0.01324149530701213
4.2171,-0.01729140920338068
4.2253,-0.012003590217316784
4.2339,-0.020355707076921803
4.2421,-0.020189932608683847
4.2503,-0.016546847080276095
4.2588,-0.01836744533155077
4.2671,-0.019444141057261888
4.2756,-0.013984657338932394
4.2838,-0.02126774642658802
4.292,-0.02027281788701707
4.3005,-0.013324053340530995
4.3088,-0.016629560620883055
4.317,-0.017787959352430605
4.3255,-0.019278452596147133
4.3338,-0.01696045373869559
4.342,-0.015802600438920678
4.3505,-0.014976029409591973
4.3587,-0.01613333779271464
4.3672,-0.017374157814106894
4.3755,-0.016629560620883055
4.3837,-0.019278452596147133
4.392,-0.019775564875448737
4.4005,-0.019361294872950907
4.4087,-0.017705191245413587
4.4172,-0.01505866901112185
4.4254,-0.013984657338932394
4.4337,-0.016050647615745817
4.4422,-0.01588527893909486
4.4504,-0.016381431683333503
4.4589,-0.020355707076921803
4.4671,-0.01729140920338068
4.4754,-0.01811907078734265
4.4838,-0.020355707076921803
4.4921,-0.01505866901112185
4.5003,-0.01894712255495712
4.5088,-0.016546847080276095
4.5171,-0.017705191245413587
4.5253,-0.013736901723735429
4.5339,-0.016216031862805735
4.5421,-0.01547192534947861
4.5503,-0.015554588285739968
4.5588,-0.01514131250087658
4.567,-0.015306611146527871
4.5753,-0.019444141057261888
4.5838,-0.018284649914360074
4.592,-0.016546847080276095
4.6005,-0.0190299492060646
4.6087,-0.014067250310382917
4.617,-0.01563725511255143
4.6255,-0.016216031862805735
4.6337,-0.019609845149377136
4.642,-0.011508672355219574
4.6505,-0.0190299492060646
4.6587,-0.016877724615174117
4.6669,-0.01505866901112185
4.6754,-0.01547192534947861
4.6837,-0.015967961331288194
4.6922,-0.01505866901112185
4.7004,-0.01795350726768241
4.7086,-0.013819483045912406
4.7172,-0.01563725511255143
4.7254,-0.019195614226227065
4.7336,-0.014149847165780827
4.7422,-0.011756113855135197
4.7504,-0.012251101451616009
4.7586,-0.016546847080276095
4.7671,-0.014315052529266126
4.7754,-0.012911301970532918
4.7836,-0.014562889712458116
4.7921,-0.012911301970532918
4.8004,-0.013654324283791652
4.8089,-0.01472813393067618
4.8171,-0.016050647615745817
4.8253,-0.011756113855135197
4.8338,-0.009942351798461146
4.8421,-0.013902068250937205
4.8503,-0.010848998717889913
4.8588,-0.01514131250087658
4.867,-0.009777557170655982
4.8753,-0.014232447905245138
4.8838,-0.011756113855135197
4.892,-0.014976029409591973
4.9002,-0.011426199600590436
4.9088,-0.00837742671101438
4.917,-0.011508672355219574
4.9255,-0.015967961331288194
4.9337,-0.007389770840172005
4.942,-0.010107161888660343
4.9505,-0.011921094222397954
4.9587,-0.011508672355219574
4.9669,-0.013736901723735429
4.9755,-0.011096347300048492
4.9837,-0.011178804568242384
4.9919,-0.009118533223357872
5.0004,-0.012993844485720274
5.0087,-0.01613333779271464
