t	OD3	OD8	OD12	OD9	OD2	OD5	OD4	OD13
0.0	0.0884833995433833	0.0539440799206829	0.076853904359861	0.0599311632017336	0.0790196494018999	0.0572192787070067	0.0816109964685356	0.041218103151225
0.008300000000001972	0.0920453569754911	0.0552529776709125	0.0784744240284767	0.0562427820557847	0.0772709569471779	0.0522440885352868	0.0811671775975479	0.0420182808741191
0.016500000000000625	0.0866464058436491	0.065980920544197	0.076853904359861	0.057598567095523	0.0768959782652221	0.0436755207322439	0.0810562023713803	0.0393763101243678
0.02500000000000213	0.1060632934201202	0.0572128396116191	0.0800928991268632	0.0552629749113116	0.0827601643831172	0.0471143060064673	0.0805012031268521	0.0397768641949642
0.033200000000000784	0.0887892255438567	0.0808883591504159	0.0860635698530374	0.0639122321570297	0.0840049834255545	0.052000579867182	0.0817219306836278	0.0437773900586044
0.04169999999999874	0.0878714567172866	0.055416459042858	0.0831623886561261	0.0734164583450933	0.0792693003484963	0.0541894159355949	0.0823873638456778	0.0386550825777352
0.049900000000000944	0.08654424803698	0.0234830186423771	0.0831623886561261	0.0786338497403438	0.0828846916449244	0.0397267186966363	0.0809452189390516	0.0357672079043087
0.0583999999999989	0.1097607499178743	0.0701729730404725	0.085419429342056	0.0760270252711219	0.0992343955272136	0.0303920631691305	0.0863737793092749	0.047210571529737
0.0666000000000011	0.1055625540454978	0.0653342907828857	0.0813862108028828	0.0797499172356417	0.0863673668942546	0.0417036339429337	0.0870371537343253	0.0439372217699673
0.07479999999999976	0.1151318792367719	0.0643634932551879	0.0789601809877882	0.0731925209788215	0.1010813644270278	0.0342640451387623	0.0909010052481686	0.0427381293536814
0.08330000000000126	0.1112557134264931	0.0667885692020657	0.0849361117590197	0.0761760873847166	0.0892222468094736	0.0556452234007971	0.092113307159785	0.0460137118976362
0.09149999999999991	0.0933650316540495	0.0617696809481831	0.0812246181155189	0.0740881050229074	0.084751391426181	0.0415802243465046	0.0873687310312814	0.0436974687498636
0.10000000000000142	0.0948854974632276	0.0643634932551879	0.0734441334461344	0.073714998607242	0.0887261265465912	0.0341394444558473	0.0848247644963464	0.0427381293536814
0.10820000000000007	0.0937707231130955	0.0601448271492088	0.0852583436995564	0.0792291709809145	0.0918242553174213	0.0333914187943664	0.0881421266493038	0.0498407962278886
0.11670000000000158	0.0924516027172168	0.0506636659458639	0.0813862108028828	0.0748340882659164	0.0872368046250215	0.0345131863442029	0.088915123960934	0.048326905376399
0.12490000000000023	0.0886872943082368	0.0591685357382214	0.0700252703178416	0.0759524896323071	0.0877334055578771	0.0534604886221381	0.0862631883944136	0.044256841577031
0.13340000000000174	0.0915373094673714	0.0607951130444828	0.1038108229631138	0.0748340882659164	0.0835071767300501	0.0317682115467023	0.0861525893304957	0.0484066163724712
0.1416000000000004	0.1168166616053711	0.0663040650862125	0.0889582095664462	0.0773681446037297	0.1066089977668021	0.0291388906104006	0.0955245356901937	0.0459338922579135
0.14979999999999905	0.1672765655397523	0.0627432176657283	0.0817093351418325	0.076846715723148	0.1326274119590742	0.0425669515121323	0.1024332362670783	0.0480080252216357
