Experiment: BatchEcoli_O2_expt_2025_01_29 vial 5, Wed Jan 29 18:19:34 2025
0.0015,0.0
0.0091,0.00415678024949373
0.0173,-0.000521181809020721
0.0258,-0.0015646072864325955
0.034,-0.005752543765919382
0.0425,-0.000521181809020721
0.0507,-0.0035248587277734167
0.0592,-0.024617546617063724
0.0674,0.0
0.0759,-0.0036557202407565548
0.0841,-0.006146336658374274
0.0925,-0.026637752061402065
0.1008,-0.0037866040605587514
0.109,-0.007855111606072773
0.1175,-0.009435827660291496
0.1256,-0.006408977556930484
0.1341,0.0018213577736663211
0.1424,-0.02542498824657846
0.1509,0.007259686171360302
0.1591,-0.026907516656732744
0.1673,-0.017521922060760975
0.1758,-0.02220032482510681
0.1841,-0.019523450938082387
0.1923,-0.0041793894429660305
0.2008,-0.004703416079927081
0.2091,-0.009699597354149159
0.2176,-0.027042434671114224
0.2258,0.0003906544998433237
0.234,-0.020058077082365955
0.2425,-0.017521922060760975
0.2508,-0.016589662941048244
0.259,-0.014861329590414085
0.2675,-0.01725544647504451
0.2757,-0.013534490761595075
0.2842,0.004804251927813308
0.2924,-0.0030016355801356642
0.3006,-0.0036557202407565548
0.3091,-0.002086851993260419
0.3173,-0.014861329590414085
0.3258,-0.01459577793455491
0.334,-0.020191791995368247
0.3425,-0.01062350642618548
0.3507,-0.02273682537651389
0.359,-0.015259829750211784
0.3675,-0.019657072465551595
0.3757,-0.019657072465551595
0.3839,-0.004310362572145676
0.3924,-0.009831516230274895
0.4007,-0.023810956790076387
0.4092,-0.008249985338424581
0.4174,0.0044158343333293715
0.4256,-0.01805515162378546
0.4342,-0.011945310824094335
0.4424,0.0
0.4506,-0.0015646072864325955
0.4591,0.0006509805461090146
0.4674,-0.008118338175441941
0.4759,-0.0026094520396882093
0.4841,-0.02126235329904258
0.4923,-0.020191791995368247
0.5008,-0.025963756846564046
0.5091,-0.003394019513414559
0.5173,-0.010359418792473596
0.5258,-0.020726885418774765
0.534,-0.0031324079477839106
0.5425,-0.019389852735059998
0.5508,-0.013401933161758972
0.559,-0.021932215589515414
0.5675,-0.01805515162378546
